"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,188,313","100"
"2","youtube.com","23,676,494","100"
"3","www.blogger.com","30,873,676","100"
"4","linkedin.com","12,761,063","99"
"5","apple.com","6,725,601","99"
"6","microsoft.com","5,463,302","99"
"7","play.google.com","3,945,138","99"
"8","support.google.com","5,917,296","99"
"9","whatsapp.com","4,359,942","98"
"10","cloudflare.com","7,383,215","98"
"11","wordpress.org","12,345,890","98"
"12","youtu.be","5,355,201","98"
"13","en.wikipedia.org","7,140,328","98"
"14","docs.google.com","3,527,191","98"
"15","maps.google.com","6,182,858","98"
"16","adobe.com","2,879,095","97"
"17","drive.google.com","2,586,220","97"
"18","plus.google.com","10,958,690","97"
"19","googleusercontent.com","3,665,478","97"
"20","sites.google.com","2,339,245","97"
"21","mozilla.org","2,539,553","97"
"22","bp.blogspot.com","18,181,456","97"
"23","europa.eu","2,367,640","97"
"24","accounts.google.com","2,548,656","97"
"25","istockphoto.com","3,693,466","96"
"26","vk.com","1,835,017","96"
"27","uol.com.br","691,832","96"
"28","vimeo.com","3,614,785","96"
"29","policies.google.com","3,284,561","96"
"30","facebook.com","60,534,510","96"
"31","github.com","3,039,545","96"
"32","t.me","1,519,177","96"
"33","amazon.com","5,087,072","96"
"34","medium.com","1,823,102","95"
"35","bbc.co.uk","1,752,698","95"
"36","msn.com","1,099,499","95"
"37","cnn.com","1,672,873","95"
"38","search.google.com","1,791,072","95"
"39","www.yahoo.com","1,336,770","95"
"40","line.me","1,031,850","95"
"41","paypal.com","1,177,878","95"
"42","google.de","1,102,919","95"
"43","enable-javascript.com","9,239,626","95"
"44","forbes.com","1,475,904","95"
"45","es.wikipedia.org","985,006","95"
"46","google.com.br","298,551","95"
"47","files.wordpress.com","7,669,379","95"
"48","slideshare.net","1,007,420","95"
"49","gravatar.com","12,588,492","95"
"50","shopify.com","3,146,351","95"
"51","google.co.jp","653,626","95"
"52","tiktok.com","1,166,874","95"
"53","jimdofree.com","1,709,098","95"
"54","dropbox.com","1,120,602","95"
"55","mail.google.com","670,232","95"
"56","wikimedia.org","2,100,040","95"
"57","gstatic.com","636,098","95"
"58","creativecommons.org","1,763,435","95"
"59","live.com","1,017,162","95"
"60","opera.com","1,011,755","95"
"61","brandbucket.com","11,181,271","95"
"62","nytimes.com","2,218,590","95"
"63","who.int","2,036,300","95"
"64","news.google.com","857,379","95"
"65","theguardian.com","1,611,713","95"
"66","ok.ru","373,868","95"
"67","wa.me","1,757,759","95"
"68","developers.google.com","1,150,252","95"
"69","myspace.com","1,372,791","95"
"70","imdb.com","1,553,072","95"
"71","draft.blogger.com","12,663,834","95"
"72","globo.com","464,364","95"
"73","www.weebly.com","6,136,224","95"
"74","google.es","481,329","95"
"75","dailymotion.com","1,133,948","95"
"76","feedburner.com","1,817,036","95"
"77","nih.gov","1,540,051","95"
"78","fr.wikipedia.org","654,149","95"
"79","tools.google.com","1,832,826","95"
"80","pt.wikipedia.org","424,214","95"
"81","buydomains.com","1,355,984","94"
"82","mail.ru","482,909","94"
"83","afternic.com","3,268,291","94"
"84","hatena.ne.jp","1,594,072","94"
"85","nasa.gov","703,572","94"
"86","goo.gl","5,002,344","94"
"87","dailymail.co.uk","1,140,302","94"
"88","news.yahoo.com","712,106","94"
"89","thesun.co.uk","430,546","94"
"90","pinterest.com","8,946,495","94"
"91","telegraph.co.uk","1,011,663","94"
"92","huffpost.com","1,217,824","94"
"93","aboutads.info","700,193","94"
"94","spotify.com","1,761,800","94"
"95","discord.com","482,154","94"
"96","youronlinechoices.com","590,423","94"
"97","shutterstock.com","557,313","94"
"98","google.co.uk","599,897","94"
"99","planalto.gov.br","124,704","94"
"100","independent.co.uk","785,590","94"
"101","samsung.com","419,054","94"
"102","wsj.com","1,006,070","94"
"103","indiatimes.com","507,172","94"
"104","booking.com","426,495","94"
"105","reuters.com","965,565","94"
"106","abril.com.br","278,288","94"
"107","ytimg.com","1,034,644","94"
"108","get.google.com","634,610","94"
"109","time.com","855,864","94"
"110","instagram.com","29,513,977","94"
"111","ru.wikipedia.org","380,750","94"
"112","bloomberg.com","885,849","94"
"113","researchgate.net","773,991","94"
"114","telegram.me","420,322","94"
"115","google.fr","419,432","94"
"116","amazon.co.jp","876,728","94"
"117","amazon.de","568,662","94"
"118","office.com","717,405","94"
"119","twitter.com","60,713,210","94"
"120","photos.google.com","279,766","94"
"121","aliexpress.com","537,256","94"
"122","godaddy.com","2,715,122","94"
"123","un.org","639,881","94"
"124","change.org","508,143","94"
"125","tinyurl.com","1,468,806","94"
"126","foxnews.com","602,218","94"
"127","estadao.com.br","137,572","94"
"128","picasaweb.google.com","627,015","94"
"129","w3.org","1,143,204","94"
"130","adssettings.google.com","459,423","94"
"131","amazon.co.uk","806,358","94"
"132","cbsnews.com","706,786","94"
"133","wp.com","2,221,617","94"
"134","pixabay.com","504,560","94"
"135","4shared.com","568,630","94"
"136","soundcloud.com","1,889,237","94"
"137","networkadvertising.org","787,301","94"
"138","myaccount.google.com","372,852","94"
"139","cnet.com","760,123","94"
"140","www.gov.uk","655,071","94"
"141","cpanel.net","1,974,774","94"
"142","bing.com","1,071,999","94"
"143","netvibes.com","1,233,205","94"
"144","mediafire.com","881,727","94"
"145","google.it","439,937","94"
"146","businessinsider.com","880,545","94"
"147","webmd.com","869,761","94"
"148","marketingplatform.google....","910,143","94"
"149","ig.com.br","158,840","94"
"150","issuu.com","1,025,376","94"
"151","mirror.co.uk","428,136","94"
"152","hugedomains.com","16,147,149","94"
"153","elpais.com","440,047","94"
"154","fandom.com","652,849","94"
"155","de.wikipedia.org","683,164","94"
"156","nature.com","661,322","94"
"157","fb.com","481,041","94"
"158","plesk.com","702,011","94"
"159","washingtonpost.com","1,196,806","94"
"160","usatoday.com","896,107","94"
"161","namecheap.com","1,126,104","94"
"162","forms.gle","893,168","94"
"163","list-manage.com","799,016","94"
"164","bit.ly","5,086,657","94"
"165","huffingtonpost.com","1,076,777","94"
"166","terra.com.br","200,751","94"
"167","archive.org","1,259,996","94"
"168","dan.com","4,197,368","94"
"169","scribd.com","776,616","94"
"170","cdc.gov","939,044","94"
"171","storage.googleapis.com","1,046,873","94"
"172","domainmarket.com","1,014,070","94"
"173","t.co","2,222,365","94"
"174","bbc.com","933,454","94"
"175","mit.edu","748,965","93"
"176","wired.com","711,123","93"
"177","express.co.uk","395,139","93"
"178","php.net","679,692","93"
"179","ja.wikipedia.org","375,997","93"
"180","netflix.com","397,498","93"
"181","loc.gov","490,605","93"
"182","disqus.com","937,952","93"
"183","radiofrance.fr","134,160","93"
"184","thenai.org","541,374","93"
"185","ftc.gov","313,473","93"
"186","sciencedirect.com","725,203","93"
"187","lemonde.fr","282,841","93"
"188","biglobe.ne.jp","277,640","93"
"189","themeforest.net","545,556","93"
"190","hollywoodreporter.com","314,959","93"
"191","picasa.google.com","258,022","93"
"192","zdf.de","143,915","93"
"193","lefigaro.fr","232,891","93"
"194","engadget.com","453,174","93"
"195","canada.ca","313,535","93"
"196","imageshack.us","703,230","93"
"197","clickbank.net","477,476","93"
"198","usnews.com","484,394","93"
"199","mega.nz","202,519","93"
"200","aol.com","682,712","93"
"201","fb.me","353,667","93"
"202","alibaba.com","409,880","93"
"203","arxiv.org","280,345","93"
"204","deezer.com","175,129","93"
"205","cointernet.com.co","661,050","93"
"206","dreamstime.com","453,688","93"
"207","outlook.com","419,129","93"
"208","abc.net.au","429,330","93"
"209","walmart.com","379,184","93"
"210","offset.com","1,862,074","93"
"211","pl.wikipedia.org","151,190","93"
"212","ssl-images-amazon.com","585,819","93"
"213","bandcamp.com","641,378","93"
"214","discord.gg","428,231","93"
"215","search.yahoo.com","534,385","93"
"216","amazon.fr","266,319","93"
"217","yelp.com","984,510","93"
"218","m.wikipedia.org","347,922","93"
"219","pbs.org","562,958","93"
"220","yandex.com","1,553,618","93"
"221","google.pl","198,674","93"
"222","skype.com","442,569","93"
"223","vkontakte.ru","347,606","93"
"224","welt.de","274,139","93"
"225","www.wix.com","1,596,406","93"
"226","tmz.com","241,861","93"
"227","oup.com","451,663","93"
"228","disney.com","259,165","93"
"229","eventbrite.com","683,036","93"
"230","gnu.org","598,276","93"
"231","wikihow.com","658,901","93"
"232","francetvinfo.fr","181,321","93"
"233","naver.com","539,176","93"
"234","ria.ru","197,975","93"
"235","sakura.ne.jp","401,776","93"
"236","000webhost.com","246,324","93"
"237","guardian.co.uk","603,844","93"
"238","stanford.edu","671,838","93"
"239","android.com","323,422","93"
"240","rambler.ru","967,051","93"
"241","amazon.es","200,904","93"
"242","twitch.tv","520,098","93"
"243","smh.com.au","341,326","93"
"244","google.ru","200,021","93"
"245","nginx.org","1,005,447","93"
"246","nbcnews.com","721,170","93"
"247","ietf.org","409,368","93"
"248","abcnews.go.com","598,976","93"
"249","academia.edu","420,328","93"
"250","hp.com","500,222","93"
"251","liveinternet.ru","355,369","93"
"252","secureserver.net","967,670","93"
"253","photos1.blogger.com","777,362","93"
"254","home.pl","213,428","93"
"255","surveymonkey.com","457,468","93"
"256","webnode.page","519,859","93"
"257","ebay.com","967,053","93"
"258","addthis.com","650,836","93"
"259","zoom.us","693,412","93"
"260","techcrunch.com","539,982","93"
"261","it.wikipedia.org","345,905","93"
"262","buzzfeed.com","640,118","93"
"263","statista.com","410,826","93"
"264","espn.com","408,098","93"
"265","britannica.com","567,865","93"
"266","newyorker.com","450,459","93"
"267","berkeley.edu","515,526","93"
"268","wikia.com","506,744","93"
"269","wiley.com","682,017","93"
"270","ipv4.google.com","329,603","93"
"271","yahoo.co.jp","667,836","93"
"272","ovhcloud.com","611,047","93"
"273","gmail.com","217,844","93"
"274","thetimes.co.uk","434,927","93"
"275","unesco.org","362,078","93"
"276","nginx.com","918,156","93"
"277","alicdn.com","561,770","93"
"278","calendar.google.com","215,603","93"
"279","cbc.ca","511,125","93"
"280","npr.org","891,768","93"
"281","kickstarter.com","500,832","93"
"282","amazonaws.com","373,672","93"
"283","amzn.to","1,027,218","93"
"284","20minutos.es","181,762","93"
"285","nydailynews.com","396,289","93"
"286","sky.com","249,205","93"
"287","google.nl","270,463","93"
"288","psychologytoday.com","412,894","93"
"289","plos.org","336,231","93"
"290","icann.org","674,832","93"
"291","rakuten.co.jp","659,162","93"
"292","ziddu.com","192,359","93"
"293","sedo.com","3,379,340","93"
"294","ibm.com","541,872","93"
"295","www.wikipedia.org","562,251","93"
"296","urbandictionary.com","262,486","93"
"297","akamaihd.net","596,219","93"
"298","sciencedaily.com","382,170","93"
"299","insider.com","402,810","93"
"300","bloglovin.com","553,154","93"
"301","sputniknews.com","189,809","93"
"302","www.gov.br","176,735","93"
"303","whitehouse.gov","422,657","93"
"304","sfgate.com","395,758","93"
"305","translate.google.com","299,556","93"
"306","akamaized.net","345,158","93"
"307","newsweek.com","419,261","93"
"308","apache.org","1,051,955","93"
"309","ca.gov","580,250","93"
"310","theatlantic.com","598,406","93"
"311","ovh.net","551,502","93"
"312","books.google.com","452,988","93"
"313","goodreads.com","940,839","93"
"314","economist.com","404,068","93"
"315","leparisien.fr","150,898","93"
"316","id.wikipedia.org","560,891","93"
"317","target.com","314,169","93"
"318","hindustantimes.com","257,353","93"
"319","tripadvisor.com","769,480","93"
"320","privacyshield.gov","435,914","93"
"321","ggpht.com","792,358","93"
"322","oracle.com","626,271","93"
"323","detik.com","410,526","93"
"324","windows.net","453,412","93"
"325","yandex.ru","1,055,231","93"
"326","dw.com","414,367","93"
"327","photobucket.com","1,642,252","93"
"328","www.canalblog.com","410,993","93"
"329","huawei.com","1,951,653","93"
"330","pinterest.fr","132,156","93"
"331","nationalgeographic.com","653,088","93"
"332","pexels.com","380,490","93"
"333","www.livejournal.com","3,025,359","93"
"334","qq.com","4,268,025","93"
"335","ikea.com","381,948","93"
"336","taringa.net","150,847","93"
"337","ea.com","233,179","93"
"338","cambridge.org","384,458","93"
"339","addtoany.com","725,404","93"
"340","springer.com","557,190","93"
"341","latimes.com","750,354","93"
"342","steampowered.com","309,861","93"
"343","rtve.es","197,550","93"
"344","spiegel.de","375,244","93"
"345","nikkei.com","259,589","93"
"346","code.google.com","323,765","93"
"347","instructables.com","364,263","93"
"348","prezi.com","339,745","93"
"349","ouest-france.fr","130,770","93"
"350","zendesk.com","536,765","93"
"351","unsplash.com","665,232","93"
"352","hubspot.com","370,747","93"
"353","cnil.fr","242,365","93"
"354","rt.com","319,793","93"
"355","quora.com","486,960","93"
"356","gizmodo.com","415,975","93"
"357","rapidshare.com","291,324","93"
"358","cnbc.com","609,027","93"
"359","timeweb.ru","643,535","93"
"360","weibo.com","1,400,568","93"
"361","groups.google.com","377,314","93"
"362","vice.com","427,659","93"
"363","e-monsite.com","147,940","93"
"364","cornell.edu","491,908","93"
"365","gofundme.com","369,461","93"
"366","ovh.com","608,392","93"
"367","harvard.edu","813,911","93"
"368","cpanel.com","995,023","93"
"369","ft.com","523,249","93"
"370","alexa.com","312,435","93"
"371","googleblog.com","273,950","93"
"372","finance.yahoo.com","509,821","93"
"373","sendspace.com","152,587","93"
"374","mashable.com","455,619","93"
"375","abc.es","211,286","93"
"376","gooyaabitemplates.com","582,550","93"
"377","marca.com","122,323","93"
"378","redbull.com","171,719","93"
"379","elmundo.es","246,125","93"
"380","nypost.com","452,921","93"
"381","sapo.pt","238,335","93"
"382","variety.com","327,885","93"
"383","freepik.com","373,794","93"
"384","zippyshare.com","192,401","93"
"385","doi.org","589,107","93"
"386","mozilla.com","210,429","93"
"387","clarin.com","149,811","93"
"388","lavanguardia.com","167,980","93"
"389","www.over-blog.com","812,451","93"
"390","yadi.sk","148,797","93"
"391","playstation.com","263,540","93"
"392","bp2.blogger.com","560,424","93"
"393","theverge.com","437,036","93"
"394","about.com","742,986","93"
"395","linktr.ee","586,868","93"
"396","netlify.app","431,664","93"
"397","google.ca","344,217","93"
"398","ted.com","658,483","93"
"399","reg.ru","500,109","93"
"400","depositfiles.com","143,292","92"
"401","kakao.com","163,211","92"
"402","softonic.com","162,299","92"
"403","marketwatch.com","397,010","92"
"404","corriere.it","188,777","92"
"405","google.com.tw","147,161","92"
"406","google.co.in","282,028","92"
"407","airbnb.com","242,563","92"
"408","jhu.edu","256,902","92"
"409","intel.com","265,919","92"
"410","mysql.com","438,758","92"
"411","excite.co.jp","494,114","92"
"412","ads.google.com","165,377","92"
"413","salesforce.com","245,242","92"
"414","cbslocal.com","318,783","92"
"415","stuff.co.nz","195,521","92"
"416","reverbnation.com","223,244","92"
"417","waze.com","129,408","92"
"418","noaa.gov","356,808","92"
"419","amazon.in","229,235","92"
"420","oecd.org","228,392","92"
"421","rottentomatoes.com","265,507","92"
"422","weather.com","235,484","92"
"423","orange.fr","178,780","92"
"424","prnewswire.com","482,773","92"
"425","over-blog-kiwi.com","216,582","92"
"426","pnas.org","259,118","92"
"427","g.co","175,015","92"
"428","public-api.wordpress.com","192,403","92"
"429","justjared.com","123,763","92"
"430","usgs.gov","253,252","92"
"431","thefreedictionary.com","271,211","92"
"432","bustle.com","224,817","92"
"433","archives.gov","284,971","92"
"434","narod.ru","272,661","92"
"435","messenger.com","122,692","92"
"436","amazon.ca","252,765","92"
"437","java.com","152,479","92"
"438","teamviewer.com","167,496","92"
"439","google.co.th","123,351","92"
"440","giphy.com","466,046","92"
"441","debian.org","427,260","92"
"442","theconversation.com","366,844","92"
"443","mailchimp.com","416,601","92"
"444","fifa.com","198,955","92"
"445","nicovideo.jp","164,067","92"
"446","goo.ne.jp","333,981","92"
"447","feedproxy.google.com","727,897","92"
"448","scholastic.com","200,844","92"
"449","espn.go.com","253,475","92"
"450","ubuntu.com","251,159","92"
"451","deloitte.com","241,986","92"
"452","ovh.co.uk","381,874","92"
"453","bestfreecams.club","483,013","92"
"454","parallels.com","538,638","92"
"455","usc.edu","247,286","92"
"456","psu.edu","351,242","92"
"457","scientificamerican.com","354,332","92"
"458","pcmag.com","315,472","92"
"459","gfycat.com","161,047","92"
"460","washington.edu","390,453","92"
"461","history.com","309,637","92"
"462","note.com","123,630","92"
"463","patreon.com","417,161","92"
"464","howstuffworks.com","325,935","92"
"465","pewresearch.org","341,037","92"
"466","admin.ch","215,242","92"
"467","com.com","248,740","92"
"468","fastcompany.com","347,800","92"
"469","chicagotribune.com","383,931","92"
"470","fortune.com","316,580","92"
"471","canva.com","337,796","92"
"472","umich.edu","375,692","92"
"473","daaz.com","221,577","92"
"474","jstor.org","267,408","92"
"475","ibb.co","175,622","92"
"476","uber.com","161,486","92"
"477","dropcatch.com","583,265","92"
"478","usda.gov","440,026","92"
"479","marthastewart.com","250,238","92"
"480","rollingstone.com","370,612","92"
"481","merriam-webster.com","343,262","92"
"482","lexpress.fr","122,585","92"
"483","bigcommerce.com","353,301","92"
"484","techradar.com","212,286","92"
"485","inc.com","288,860","92"
"486","my.yahoo.com","1,207,294","92"
"487","justgiving.com","162,329","92"
"488","lin.ee","230,500","92"
"489","etsy.com","1,796,753","92"
"490","asus.com","178,614","92"
"491","nl.wikipedia.org","177,206","92"
"492","bp0.blogger.com","559,777","92"
"493","m.me","260,707","92"
"494","main.jp","128,764","92"
"495","esa.int","132,740","92"
"496","channel4.com","171,050","92"
"497","dictionary.com","369,241","92"
"498","tvtropes.org","140,672","92"
"499","unam.mx","171,657","92"
"500","dailystar.co.uk","159,594","92"
